players,nation,name,full_names,r1,r2
A Mohamed,Tanzania,Aisha Mohamed,0,A Mohamed,0
N Mapunda,Tanzania,Nasibu Mapunda,Nasibu Mapunda,N Mapunda,Nasibu Mapunda
FO Kibasu,Tanzania,Fatuma Kibasu,Fatuma Omari Kibasu,F Kibasu,FO Kibasu
AR Patwa,Tanzania,Abhik Patwa,Abhik Ramesh Patwa,A Patwa,AR Patwa
Akhil Anil,Tanzania,Akhil Anil,0,A Anil,0
AM Kimote,Tanzania,Ally Kimote,Ally Mpeka Kimote,A Kimote,AM Kimote
Shaik Basha,Tanzania,Shaik Basha,0,S Basha,0
Rahima Yahaya,Tanzania,Rahima Yahaya,0,R Yahaya,0
T Shabani,Tanzania,Tatu Shabani,0,T Shabani,0
Jitin Singh,Tanzania,Jitin Singh,Jitin Singh,J Singh,Jitin Singh
S Mtae,Tanzania,Saum Mtae,0,S Mtae,0
W Kevin,Tanzania,Winfrida Kevin,0,W Kevin,0
J Ulrik,Tanzania,Josephine Ulrik,0,J Ulrik,0
S Thakor,Tanzania,SanjayKumar Thakor,0,S Thakor,0
Zinaida Jeremiah,Tanzania,Zinaida Jeremiah,0,Z Jeremiah,0
M Pascal,Tanzania,Monica Pascal,0,M Pascal,0
K Nassoro,Tanzania,Kassim Nassoro,Kassim Nassoro,K Nassoro,Kassim Nassoro
M Whelan,Gibraltar,Matthew Whelan,0,M Whelan,0
J Horrocks,Gibraltar,Jack Horrocks,0,J Horrocks,0
J West,Gibraltar,Jonathan West,0,J West,0
P Hatchman,Gibraltar,Patrick Hatchman,0,P Hatchman,0
E Packard,Gibraltar,Edmund Packard,0,E Packard,0
R Cunningham,Gibraltar,Richard Cunningham,0,R Cunningham,0
M Gouws,Gibraltar,Mark Gouws,0,M Gouws,0
T Caruana,Gibraltar,Tim Caruana,0,T Caruana,0
L Bruce,Gibraltar,Louis Bruce,0,L Bruce,0
S Bodha,Gibraltar,Samarth Bodha,0,S Bodha,0
N Advani,Gibraltar,Nikhil Advani,0,N Advani,0
A Orfila,Gibraltar,Adam Orfila,0,A Orfila,0
A Reyes,Gibraltar,Andrew Reyes,0,A Reyes,0
Z Simpson,Gibraltar,Zachary Simpson,0,Z Simpson,0
K Nestor,Gibraltar,Kenroy Nestor,0,K Nestor,0
K Mirpuri,Gibraltar,Kabir Mirpuri,0,K Mirpuri,0
J Marples,Gibraltar,Joseph Marples,0,J Marples,0
Huzaifa Mohammed,Philippines,Huzaifa Mohammed,0,H Mohammed,0
Kuldeep Singh,Philippines,Kuldeep Singh,Kuldeep Singh,K Singh,Kuldeep Singh
R Mahajan,Philippines,Ruchir Mahajan,Ruchir Mahajan,R Mahajan,Ruchir Mahajan
Kapil Kumar,Philippines,Kapil Kumar,0,K Kumar,0
M Podosky,Philippines,Miggy Podosky,0,M Podosky,0
Karweng NG,Philippines,Karweng NG,Karweng NG,K NG,Karweng NG
J Long,Philippines,Jason Long,Jason Long,J Long,Jason Long
S Mohan,Philippines,Siva Mohan,0,S Mohan,0
G Chohan,Philippines,Gurbhupinder Chohan,0,G Chohan,0
H Isorena,Philippines,Hern Isorena,0,H Isorena,0
J Hill,Philippines,Jonathan Hill,Jonathan Hill,J Hill,Jonathan Hill
Muzammil Shahzad,Philippines,Muzammil Shahzad,0,M Shahzad,0
R Goodwin,Philippines,Richard Goodwin,Richard Goodwin,R Goodwin,Richard Goodwin
Vimal Kumar,Philippines,Vimal Kumar,Vimal Kumar,V Kumar,Vimal Kumar
Surinder Singh,Philippines,Surinder Singh,Surinder Singh,S Singh,Surinder Singh
T Phaswana,Botswana,Tshepo Phaswana,Tshepo Phaswana,T Phaswana,Tshepo Phaswana
D Kegasitswe,Botswana,Dimpho Kegasitswe,0,D Kegasitswe,0
A Rangaswamy,Botswana,Adithiya Rangaswamy,Adithiya Rangaswamy,A Rangaswamy,Adithiya Rangaswamy
A Mokgotlhe,Botswana,Amantle Mokgotlhe,0,A Mokgotlhe,0
B Mpedi,Botswana,Botsogo Mpedi,Botsogo Mpedi,B Mpedi,Botsogo Mpedi
R Nehonde,Botswana,Reginald Nehonde,Reginald Nehonde,R Nehonde,Reginald Nehonde
S Kollery,Botswana,Sooraj Kollery,0,S Kollery,0
O Kgeresi,Botswana,Oratile Kgeresi,0,O Kgeresi,0
B Maphosa,Botswana,Boteng Maphosa,0,B Maphosa,0
T Tshose,Botswana,Thatayaone Tshose,Thatayaone Tshose,T Tshose,Thatayaone Tshose
H Pragji,Botswana,Hemal Pragji,0,H Pragji,0
B Khumalo,Botswana,Boemo Khumalo,0,B Khumalo,0
P Mapotsane,Botswana,Pako Mapotsane,0,P Mapotsane,0
Z Abbasi,Botswana,Zain Abbasi,Zain Abbasi,Z Abbasi,Zain Abbasi
T Motlhabaphuti,Botswana,Tebogo Motlhabaphuti,0,T Motlhabaphuti,0
V Balakrishnan,Botswana,Vinoo Balakrishnan,Vinoo Balakrishnan,V Balakrishnan,Vinoo Balakrishnan
P Silas,Botswana,Phemelo Silas,0,P Silas,0
B Gaanamong,Botswana,Banyana Gaanamong,0,B Gaanamong,0
M Mooketsi,Botswana,Mmoloki Mooketsi,Mmoloki Mooketsi,M Mooketsi,Mmoloki Mooketsi
J Kgang,Botswana,Jacqueline Kgang,Jacqueline Kgang,J Kgang,Jacqueline Kgang
T Modise,Botswana,Thapelo Modise,0,T Modise,0
R Mbaiwa,Botswana,Rod Mbaiwa,0,R Mbaiwa,0
L Mophakedi,Botswana,Laura Mophakedi,0,L Mophakedi,0
K Modise,Botswana,Karabo Modise,Karabo Modise,K Modise,Karabo Modise
N Master,Botswana,Nabil Master,Nabil Master,N Master,Nabil Master
G Matome,Botswana,Goabilwe Matome,0,G Matome,0
B Madimabe,Botswana,Bontle Madimabe,0,B Madimabe,0
D Maisuria,Botswana,Dhruv Maisuria,Dhruv Maisuria,D Maisuria,Dhruv Maisuria
JWN Moses,Botswana,James Moses,James Walton Nathaniel Moses,J Moses,JWN Moses
S Mosweu,Botswana,Shameelah Mosweu,0,S Mosweu,0
Ameer Saiyed,Botswana,Ameer Saiyed,Ameer Saiyed,A Saiyed,Ameer Saiyed
W Moutswi,Botswana,Wendy Moutswi,0,W Moutswi,0
M Phiase,Botswana,Merapelo Phiase,0,M Phiase,0
I Master,Botswana,Inzimamul Master,Inzimamul Master,I Master,Inzimamul Master
O Keitsemang,Botswana,Onneile Keitsemang,0,O Keitsemang,0
T Perera,Botswana,Tharindu Perera,Tharindu Perera,T Perera,Tharindu Perera
K Piet,Botswana,Katlo Piet,0,K Piet,0
P Modimo,Botswana,Precious Modimo,0,P Modimo,0
V Mbazo,Botswana,Valentine Mbazo,0,V Mbazo,0
O Batisani,Botswana,Olebogeng Batisani,0,O Batisani,0
F Samanyika,Botswana,Florence Samanyika,0,F Samanyika,0
M Ramafifi,Botswana,Mimmie Ramafifi,0,M Ramafifi,0
L Maphane,Botswana,Leano Maphane,0,L Maphane,0
B Kgosiemang,Botswana,Boemo Kgosiemang,0,B Kgosiemang,0
B Freeman,Botswana,Botho Freeman,0,B Freeman,0
T Shadrack,Botswana,Tuelo Shadrack,0,T Shadrack,0
Noorkhan Ahmedi,Switzerland,Noorkhan Ahmedi,0,N Ahmedi,0
Osama Mahmood,Switzerland,Osama Mahmood,0,O Mahmood,0
Azeem Nazir,Switzerland,Azeem Nazir,0,A Nazir,0
Faheem Nazir,Switzerland,Faheem Nazir,0,F Nazir,0
M Martin,Switzerland,Matthew Martin,0,M Martin,0
Afif Khattak,Switzerland,Afif Khattak,0,A Khattak,0
K Fletcher,Switzerland,Kenardo Fletcher,0,K Fletcher,0
Anser Mehmood,Switzerland,Anser Mehmood,0,A Mehmood,0
Sathya Narayanan,Switzerland,Sathya Narayanan,0,S Narayanan,0
Ashwin Vinod,Switzerland,Ashwin Vinod,0,A Vinod,0
Izhar Hussain,Switzerland,Izhar Hussain,0,I Hussain,0
Idrees Ul Haque,Switzerland,Idrees Ul Haque,0,I Ul,0
Jai Sinh,Switzerland,Jai Sinh,0,J Sinh,0
Ahmed Hassan,Switzerland,Ahmed Hassan,Ahmed Hassan,A Hassan,Ahmed Hassan
Abdullah Rana,Switzerland,Abdullah Rana,0,A Rana,0
Ali Nayyer,Switzerland,Ali Nayyer,0,A Nayyer,0
Arjun Vinod,Switzerland,Arjun Vinod,0,A Vinod,0
Asad Mahmood,Switzerland,Asad Mahmood,0,A Mahmood,0
A Andrews,Switzerland,Aidan Andrews,0,A Andrews,0
S Franklin,Switzerland,Stefan Franklin,0,S Franklin,0
L Qiao,Indonesia,Lie Qiao,0,L Qiao,0
Anjar Tadarus,Indonesia,Anjar Tadarus,0,A Tadarus,0
N Sitompul,Indonesia,Netty Sitompul,0,N Sitompul,0
Yuliana,Indonesia,Yuliana,0,Yuliana,0
T Wigradianti,Indonesia,Tantri Wigradianti,0,T Wigradianti,0
T Hanum,Indonesia,Taskia Hanum,0,T Hanum,0
F Banunaek,Indonesia,Ferdinando Banunaek,0,F Banunaek,0
Mia Arda,Indonesia,Mia Arda,0,M Arda,0
Y Anggraeni,Indonesia,Yulia Anggraeni,Yulia Anggraeni,Y Anggraeni,Yulia Anggraeni
P Haryanti,Indonesia,Puji Haryanti,0,P Haryanti,0
Ahmad Ramdoni,Indonesia,Ahmad Ramdoni,0,A Ramdoni,0
M Corazon,Indonesia,Maria Corazon,0,M Corazon,0
E Eduard,Indonesia,Edenyce Eduard,0,E Eduard,0
Muhammad Afis,Indonesia,Muhammad Afis,0,M Afis,0
T Singye,Bhutan,Tobden Singye,0,T Singye,0
T Cheki,Bhutan,Tashi Cheki,0,T Cheki,0
K Ghalley,Bhutan,Kishen Ghalley,0,K Ghalley,0
K Samten,Bhutan,Karma Samten,0,K Samten,0
Karma Dorji,Bhutan,Karma Dorji,0,K Dorji,0
K Dorji,Bhutan,Karma Dorji,0,K Dorji,0
K Penjor,Bhutan,Kinley Penjor,0,K Penjor,0
T Wangchuk,Bhutan,Tenzin Wangchuk jnr,0,T Wangchuk,0
Kinley Bidha,Bhutan,Kinley Bidha,0,K Bidha,0
Y Choden,Bhutan,Yeshey Choden,0,Y Choden,0
Tenjin Rabgey,Bhutan,Tenjin Rabgey,0,T Rabgey,0
A Mongar,Bhutan,Anand Mongar,0,A Mongar,0
Sonam,Bhutan,Sonam,"Sonam is a given name. It is a Tibetan name meaning ""merit""",Sonam,"SiagnIiaTnm ""merit"""
S Chophel,Bhutan,Sonam Chophel,0,S Chophel,0
Ngawang Thinley,Bhutan,Ngawang Thinley,0,N Thinley,0
Y Wangmo,Bhutan,Yeshey Wangmo,0,Y Wangmo,0
Anjuli Ghalley,Bhutan,Anjuli Ghalley,0,A Ghalley,0
J Singye,Bhutan,Jigme Singye,0,J Singye,0
K Loday,Bhutan,Kinga Loday,0,K Loday,0
T Zangmo,Bhutan,Tshering Zangmo,0,T Zangmo,0
P Seldon,Bhutan,Pemma Seldon,0,P Seldon,0
S Choden,Bhutan,Sonam Choden,0,S Choden,0
K Dema,Bhutan,Karma Dema,0,K Dema,0
S Loday,Bhutan,Sherab Loday,0,S Loday,0
Namgay Thinley,Bhutan,Namgay Thinley,0,N Thinley,0
Tashi Phuntsho,Bhutan,Tashi Phuntsho,0,T Phuntsho,0
S Tobgay,Bhutan,Sonam Tobgay,Sonam Tobgay,S Tobgay,Sonam Tobgay
T Yangchen,Bhutan,Tshering Yangchen,0,T Yangchen,0
S Paldon,Bhutan,Sonam Paldon,0,S Paldon,0
N Chejay,Bhutan,Namgang Chejay,0,N Chejay,0
Tshering Choden,Bhutan,Tshering Choden,0,T Choden,0
A Gurung,Bhutan,Anju Gurung,Anju Gurung,A Gurung,Anju Gurung
Dechen Zangmo,Bhutan,Dechen Zangmo,0,D Zangmo,0
Sangay Wangmo,Bhutan,Sangay Wangmo,0,S Wangmo,0
N Choden,Bhutan,Ngawang Choden,0,N Choden,0
Manoj Adhikari,Bhutan,Manoj Adhikari,0,M Adhikari,0
T Lhaden,Bhutan,Tashi Lhaden,0,T Lhaden,0
Chado Om,Bhutan,Chado Om,0,C Om,0
U Dorji,Bhutan,Ugyen Dorji,The Lhotshampa or Lhotsampa,U Dorji,TLo Lhotsampa
Tenzin Wangchuk jnr,Bhutan,Tenzin Wangchuk jnr,0,T Wangchuk,0
T Jamtsho,Bhutan,Thinley Jamtsho,0,T Jamtsho,0
D Wangmo,Bhutan,Dechen Wangmo,0,D Wangmo,0
S Pradhan,Bhutan,Suprit Pradhan,0,S Pradhan,0
J Thinley,Bhutan,Jigme Thinley,0,J Thinley,0
K Nima,Bhutan,Kezang Nima,0,K Nima,0
Muhammad Amir,Malaysia,Muhammad Amir,0,M Amir,0
Anwar Arudin,Malaysia,Anwar Arudin,Anwar Arudin,A Arudin,Anwar Arudin
C Smith,Malaysia,Conor Smith,0,C Smith,0
Virandeep Singh,Malaysia,Virandeep Singh,Virandeep Singh,V Singh,Virandeep Singh
Syed Rehmatullah,Malaysia,Syed Rehmatullah,0,S Rehmatullah,0
Yusrina Yaakop,Malaysia,Yusrina Yaakop,Yusrina Yaakop,Y Yaakop,Yusrina Yaakop
J Intan,Malaysia,Jamahidaya Intan,Jamahidaya Intan,J Intan,Jamahidaya Intan
Mas Elysa,Malaysia,Mas Elysa,Mas Elysa Yasmin Zulkifli,M Elysa,MEY Zulkifli
S Muniandy,Malaysia,Sharvin Muniandy,Sharvin Muniandy,S Muniandy,Sharvin Muniandy
J Francis,Malaysia,Jennifer Francis,Jennifer Francis,J Francis,Jennifer Francis
Ainool Haqqiem,Malaysia,Ainool Haqqiem,0,A Haqqiem,0
Ammar Zuhdi Hazalan,Malaysia,Ammar Zuhdi Hazalan,0,A Zuhdi,0
Nurilyaa Natasya,Malaysia,Nurilyaa Natasya,Nurilyaa Natasya Mohamad Asri,N Natasya,NNM Asri
Wan Julia,Malaysia,Wan Julia,Wan Julia,W Julia,Wan Julia
Amalin Sorfina,Malaysia,Amalin Sorfina,0,A Sorfina,0
Wan Nor Zulaika,Malaysia,Wan Nor Zulaika,0,W Nor,0
Khizar Hayat,Malaysia,Khizar Hayat,Khizar Hayat Durrani,K Hayat,KH Durrani
Aina Najwa,Malaysia,Aina Najwa,Aina Najwa,A Najwa,Aina Najwa
Nik Nur Atiela,Malaysia,Nik Nur Atiela,This is a list of Malaysian women Twenty20 International cricketers. A Twenty20 International,N Nur,TialoMwTIcAT International
Pavandeep Singh,Malaysia,Pavandeep Singh,Pavandeep Singh,P Singh,Pavandeep Singh
Nur Arianna Natsya,Malaysia,Nur Arianna Natsya,Nur Arianna Natsya,N Arianna,NA Natsya
Zumika Azmi,Malaysia,Zumika Azmi,Zumika Azmi,Z Azmi,Zumika Azmi
Christina Baret,Malaysia,Christina Baret,Christina Baret,C Baret,Christina Baret
Mahirah Izzati Ismail,Malaysia,Mahirah Izzati Ismail,Mahirah Izzati Ismail,M Izzati,MI Ismail
Syed Aziz,Malaysia,Syed Aziz,Syed Aziz,S Aziz,Syed Aziz
Ainna Hamizah Hashim,Malaysia,Ainna Hamizah Hashim,Ainna Hamizah Hashim,A Hamizah,AH Hashim
Sasha Azmi,Malaysia,Sasha Azmi,Sasha Azmi,S Azmi,Sasha Azmi
Zubaidi Zulkifle,Malaysia,Zubaidi Zulkifle,0,Z Zulkifle,0
Musfirah Nur Ainaa,Malaysia,Musfirah Nur Ainaa,0,M Nur,0
Ainool Hafizs,Malaysia,Ainool Hafizs,0,A Hafizs,0
Nur Dania Syuhada,Malaysia,Nur Dania Syuhada,Nur Dania Syuhada,N Dania,ND Syuhada
Mohamed Arief,Malaysia,Mohamed Arief,0,M Arief,0
Aslam Khan,Malaysia,Aslam Khan,Mohammad Aslam Mohammad Nawfer,A Khan,MAM Nawfer
WA Duraisingam,Malaysia,Winifred Duraisingam,Winifred Anne Duraisingam,W Duraisingam,WA Duraisingam
Anwar Rahman,Malaysia,Anwar Rahman,Anwar Rahman,A Rahman,Anwar Rahman
Syazrul Idrus,Malaysia,Syazrul Idrus,Syazrul Ezat Idrus,S Idrus,SE Idrus
Fitri Sham,Malaysia,Fitri Sham,Fitri Sham,F Sham,Fitri Sham
Nur Nadihirah,Malaysia,Nur Nadihirah,Nur Nadihirah,N Nadihirah,Nur Nadihirah
Sharveen Surendran,Malaysia,Sharveen Surendran,0,S Surendran,0
Nazril Rahman,Malaysia,Nazril Rahman,Mohamad Nazril Abdul Rahman,N Rahman,MNA Rahman
Emylia Eliani,Malaysia,Emylia Eliani,0,E Eliani,0
Rizwan Haider,Malaysia,Rizwan Haider,0,R Haider,0
Nur Aishah,Malaysia,Nur Aishah,This is a list of Malaysian women Twenty20 International cricketers. A Twenty20 International,N Aishah,TialoMwTIcAT International
Muhammad Wafiq,Malaysia,Muhammad Wafiq,Muhammad Wafiq,M Wafiq,Muhammad Wafiq
Aminuddin Ramly,Malaysia,Aminuddin Ramly,Aminuddin Ramly,A Ramly,Aminuddin Ramly
Aisya Eleesa,Malaysia,Aisya Eleesa,Aisya Eleesa,A Eleesa,Aisya Eleesa
Shafiq Sharif,Malaysia,Shafiq Sharif,Shafiq Sharif,S Sharif,Shafiq Sharif
Noor Hayati Zakaria,Malaysia,Noor Hayati Zakaria,Noor Hayati Zakaria,N Hayati,NH Zakaria
D Mogan,Malaysia,Dhivendran Mogan,Dhivendran Mogan,D Mogan,Dhivendran Mogan
M Sarenac,Serbia,Matija Sarenac,0,M Sarenac,0
A Djorovic,Serbia,Aleksa Djorovic,0,A Djorovic,0
S Ivetic,Serbia,Simo Ivetic,0,S Ivetic,0
A Mene-Ejegi,Serbia,Ayo Mene-Ejegi,0,A Mene-Ejegi,0
S Tosic,Serbia,Slobodan Tosic,0,S Tosic,0
J Reb,Serbia,Jovan Reb,0,J Reb,0
A Dizija,Serbia,Alexander Dizija,0,A Dizija,0
B Dugic,Serbia,Bogdan Dugic,0,B Dugic,0
P Nedeljkovic,Serbia,Peter Nedeljkovic,0,P Nedeljkovic,0
Rahman Ademi,Serbia,Rahman Ademi,0,R Ademi,0
N Zimonjic,Serbia,Nemanja Zimonjic,0,N Zimonjic,0
V Zimonjic,Serbia,Vukasin Zimonjic,0,V Zimonjic,0
Apon Mustafizur,Serbia,Apon Mustafizur,0,A Mustafizur,0
S Kagnassy,Mali,Sirantou Kagnassy,0,S Kagnassy,0
O Sow,Mali,Oumou Sow,0,O Sow,0
B Coulibaly,Mali,Balkissa Coulibaly,0,B Coulibaly,0
Y Sangare,Mali,Youma Sangare,0,Y Sangare,0
M Sidibe,Mali,Mariam Sidibe,0,M Sidibe,0
A Sangare,Mali,Aissata Sangare,0,A Sangare,0
M Samake,Mali,Mariam Samake,0,M Samake,0
N Traore,Mali,Nafoutouma Traore,0,N Traore,0
T Konate,Mali,Tenin Konate,0,T Konate,0
R Cisse,Mali,Ramata Cisse,0,R Cisse,0
M Coulibaly,Mali,Maimouna Coulibaly,0,M Coulibaly,0
R Trumpelmann,Namibia,Ruben Trumpelmann,Ruben Trumpelmann,R Trumpelmann,Ruben Trumpelmann
N Davin,Namibia,Niko Davin,Niko Davin,N Davin,Niko Davin
D Wiese,Namibia,David Wiese,David Wiese,D Wiese,David Wiese
JL Louw,Namibia,Lennie Louw,Jan Leonardus Louw,L Louw,JL Louw
JP Kotze,Namibia,JP Kotze,"Since their first match in 2003, 39 players have represented Namibia in One Day Internationals",J Kotze,Stfmi23phrNiOD Internationals
M Gorases,Namibia,Merczerly Gorases,0,M Gorases,0
CG Williams,Namibia,Craig Williams,Craig George Williams,C Williams,CG Williams
R Walters,Namibia,Riaan Walters,Riaan Walters,R Walters,Riaan Walters
JA Diergaardt,Namibia,Jurriene Diergaardt,Jurriene Arrasta Diergaardt,J Diergaardt,JA Diergaardt
L Louwrens,Namibia,Lo-handre Louwrens,Lo-handre Louwrens,L Louwrens,Lo-handre Louwrens
B Shikongo,Namibia,Ben Shikongo,Ben Shikongo,B Shikongo,Ben Shikongo
SF Burger,Namibia,Sarel Burger,Sarel Francois Burger,S Burger,SF Burger
M Bosman,Namibia,Mikala Bosman,0,M Bosman,0
M Short,Namibia,Maryke Short,0,M Short,0
G Snyman,Namibia,Gerrie Snyman,Gerrie Snyman,G Snyman,Gerrie Snyman
Z Groenewald,Namibia,Zhivago Groenewald,Zhivago Groenewald,Z Groenewald,Zhivago Groenewald
BM Scholtz,Namibia,Bernard Scholtz,Bernard Martinus Scholtz,B Scholtz,BM Scholtz
Yasmeen Khan,Namibia,Yasmeen Khan,Yasmeen Khan,Y Khan,Yasmeen Khan
M Mwatile,Namibia,Mekelaye Mwatile,0,M Mwatile,0
SA Wittmann,Namibia,Sune Wittmann,Sune Alet Wittmann,S Wittmann,SA Wittmann
JN Frylinck,Namibia,Jan Frylinck,Jan Nicolaas Frylinck,J Frylinck,JN Frylinck
AJ Burger,Namibia,Jan-Berrie Burger,Andries Johannes Burger,J Burger,AJ Burger
E Simeon,Namibia,Ester Simeon,0,E Simeon,0
B Manuel,Namibia,Bianca Manuel,0,B Manuel,0
SJ Swanepoel,Namibia,Stephan Swanepoel,Stephan Jacobus Swanepoel,S Swanepoel,SJ Swanepoel
W Mwatile,Namibia,Wilka Mwatile,Wilka Mwatile,W Mwatile,Wilka Mwatile
V Hamunyela,Namibia,Victoria Hamunyela,Victoria Hamunyela,V Hamunyela,Victoria Hamunyela
T Lungameni,Namibia,Tangeni Lungameni,Tangeni Lungameni,T Lungameni,Tangeni Lungameni
JJ Smit,Namibia,JJ Smit,Johannes Jonathan Smit,J Smit,JJ Smit
D Keulder,Namibia,Danie Keulder,Danie Keulder,D Keulder,Danie Keulder
M Karg,Namibia,MornÃ Karg,0,M Karg,0
D Foerster,Namibia,Dietlind Foerster,Dietlind Foerster,D Foerster,Dietlind Foerster
JN Loftie-Eaton,Namibia,Jan Nicol Loftie-Eaton,Jan Nicol Loftie-Eaton,J Nicol,JN Loftie-Eaton
K Birkenstock,Namibia,Karl Birkenstock,Karl Birkenstock,K Birkenstock,Karl Birkenstock
Reehana Khan,Namibia,Reehana Khan,Reehana Khan,R Khan,Reehana Khan
SJ Baard,Namibia,Stephan Baard,Stephan Julian Baard,S Baard,SJ Baard
LJ Burger,Namibia,Louis Burger,Louis Jacobus Burger,L Burger,LJ Burger
N Benjamin,Namibia,Naomi Benjamin,0,N Benjamin,0
C Kauripeke,Namibia,Constancia Kauripeke,0,C Kauripeke,0
ZE Green,Namibia,Zane Green,Zane Edward Green,Z Green,ZE Green
C Viljoen,Namibia,Christi Viljoen,"Christoffel ""Christi"" Viljoen",C Viljoen,"C"" Viljoen"
MG Erasmus,Namibia,Gerhard Erasmus,Merwe Gerhard Erasmus,G Erasmus,MG Erasmus
L Monanthane,Lesotho,Lefulere Monanthane,0,L Monanthane,0
V Jayant,Lesotho,Vijayakumar Jayant,0,V Jayant,0
N Tsiame,Lesotho,Nthati Tsiame,0,N Tsiame,0
B Phelenyane,Lesotho,Boitumelo Phelenyane,0,B Phelenyane,0
L Khotso,Lesotho,Limpho Khotso,0,L Khotso,0
K Damane,Lesotho,Khahliso Damane,0,K Damane,0
T Letsitsa,Lesotho,Ts'eliso Letsitsa,0,T Letsitsa,0
M Moalosi,Lesotho,Majane Moalosi,0,M Moalosi,0
M Tsarsi,Lesotho,Matsooana Tsarsi,0,M Tsarsi,0
Omar Hussain,Lesotho,Omar Hussain,0,O Hussain,0
R Limema,Lesotho,Ret'sepile Limema,0,R Limema,0
T Ramabitsa,Lesotho,Tanki Ramabitsa,0,T Ramabitsa,0
Waseem Yaqoob,Lesotho,Waseem Yaqoob,0,W Yaqoob,0
B Lekau,Lesotho,Boitumelo Lekau,0,B Lekau,0
R Khasana,Lesotho,Rethabie Khasana,0,R Khasana,0
M Leporoporo,Lesotho,Mthimkhulu Leporoporo,0,M Leporoporo,0
M Matobole,Lesotho,Mpitsoane Matobole,0,M Matobole,0
Maaz Khan,Lesotho,Maaz Khan,0,M Khan,0
P Pheko,Lesotho,Paballo Pheko,0,P Pheko,0
T Khabo,Lesotho,Tshepang Khabo,0,T Khabo,0
M Mokoatsela,Lesotho,Mamothepane Mokoatsela,0,M Mokoatsela,0
T Koloi,Lesotho,Tharollo Koloi,0,T Koloi,0
Sarfaraj Patel,Lesotho,Sarfaraj Patel,0,S Patel,0
C Tlali,Lesotho,Chachole Tlali,0,C Tlali,0
Khan Arbaaz,Lesotho,Khan Arbaaz,0,K Arbaaz,0
M Mohasane,Lesotho,Mathuto Mohasane,0,M Mohasane,0
T Kobeli,Lesotho,Thandi Kobeli,0,T Kobeli,0
D Kalvin,Seychelles,Deso Kalvin,0,D Kalvin,0
K Govind,Seychelles,Kerai Govind,0,K Govind,0
P Abhijit,Seychelles,Pednekar Abhijit,0,P Abhijit,0
S Rukmal,Seychelles,Samarathunga Rukmal,0,S Rukmal,0
S Udhayan,Seychelles,Sivakumar Udhayan,0,S Udhayan,0
Mazharul Islam,Seychelles,Mazharul Islam,0,M Islam,0
T Shanmugam,Seychelles,Tharmenthiran Shanmugam,0,T Shanmugam,0
R Nil,Seychelles,Rao Nil,0,R Nil,0
P Byron,Seychelles,Paul Byron,0,P Byron,0
T Rajiv,Seychelles,Thiyagarajan Rajiv,0,T Rajiv,0
N Krishna,Seychelles,Naidoo Krishna,0,N Krishna,0
D Mutu,Turkey,Deniz Mutu,0,D Mutu,0
G Keles,Turkey,Gulhatun Keles,0,G Keles,0
Muhammed Turkmen,Turkey,Muhammed Turkmen,0,M Turkmen,0
Shamsullah Ehsan,Turkey,Shamsullah Ehsan,0,S Ehsan,0
M Ozturk,Turkey,Mecit Ozturk,0,M Ozturk,0
Zafer Durmaz,Turkey,Zafer Durmaz,0,Z Durmaz,0
E Kuyumcu,Turkey,EmiÌn Kuyumcu,0,E Kuyumcu,0
A Turkmen,Turkey,Ali Turkmen,0,A Turkmen,0
Murat Yilmaz,Turkey,Murat Yilmaz,0,M Yilmaz,0
T Turan,Turkey,Tunahan Turan,0,T Turan,0
M Sert,Turkey,Mehmat Sert,0,M Sert,0
Muhammet Bicer,Turkey,Muhammet Bicer,0,M Bicer,0
I Elec,Turkey,Ishak Elec,0,I Elec,0
R Nath,Turkey,Romeo Nath,0,R Nath,0
G Cengiz,Turkey,Gulce Cengiz,0,G Cengiz,0
Cihan Altun,Turkey,Cihan Altun,0,C Altun,0
O Essiz,Turkey,Ozlem Essiz,0,O Essiz,0
Hasan Cakir,Turkey,Hasan Cakir,0,H Cakir,0
Ezgi Nur Kilic,Turkey,Ezgi Nur Kilic,0,E Nur,0
Murat Ipek,Turkey,Murat Ipek,0,M Ipek,0
H Okcu,Turkey,Hatice Okcu,0,H Okcu,0
K Canavarci,Turkey,Kubra Canavarci,0,K Canavarci,0
C Bayraktar,Turkey,Cagri Bayraktar,0,C Bayraktar,0
G Ayan,Turkey,Goksu Ayan,0,G Ayan,0
Rumeysa Alp,Turkey,Rumeysa Alp,This is a list of Turkey women Twenty20 International cricketers. A Women's Twenty20 International,R Alp,TialoTwTIcAWT International
Ilyas Ataullah,Turkey,Ilyas Ataullah,0,I Ataullah,0
Rabia Sahan,Turkey,Rabia Sahan,0,R Sahan,0
Muhammet Kursat,Turkey,Muhammet Kursat,0,M Kursat,0
B Taylan,Turkey,Burcu Taylan,0,B Taylan,0
T Ulutuna,Turkey,Tunahan Ulutuna,0,T Ulutuna,0
Khalid Zahid,Sweden,Khalid Zahid,0,K Zahid,0
S Linden,Sweden,Sienna Linden,0,S Linden,0
Ismaeel Zia,Sweden,Ismaeel Zia,0,I Zia,0
L Karlsson,Sweden,Liam Karlsson,0,L Karlsson,0
Imal Zuwak,Sweden,Imal Zuwak,0,I Zuwak,0
S Lundell,Sweden,Signe Lundell,This is a list of Sweden women Twenty20 International cricketers. A Women's Twenty20 International,S Lundell,TialoSwTIcAWT International
